filename,matrix_size,block_size,timing
non_blocked_ijk.out,2,1,2e-07
non_blocked_ijk.out,4,1,7.600000000000001e-07
non_blocked_ijk.out,8,1,3.48e-06
non_blocked_ijk.out,16,1,2.4199999999999995e-05
non_blocked_ijk.out,32,1,0.00020483999999999994
non_blocked_ijk.out,64,1,0.0014527199999999996
non_blocked_ijk.out,128,1,0.012658559999999994
non_blocked_ijk.out,256,1,0.14994708
non_blocked_ijk.out,512,1,1.2563710399999999
non_blocked_ijk.out,1024,1,25.413566400000004
natural_blas.out,2,1,2.3e-05
natural_blas.out,4,1,2.4760000000000003e-05
natural_blas.out,8,1,2.6680000000000002e-05
natural_blas.out,16,1,2.648e-05
natural_blas.out,32,1,3.852e-05
natural_blas.out,64,1,0.00014431999999999997
natural_blas.out,128,1,0.0006348799999999999
natural_blas.out,256,1,0.004034479999999999
natural_blas.out,512,1,0.03014288
natural_blas.out,1024,1,0.22581723999999997
blocked_ijk_atlas.out,2,2,1.7400000000000003e-05
blocked_ijk_atlas.out,4,2,1.984e-05
blocked_ijk_atlas.out,4,4,1.8199999999999995e-05
blocked_ijk_atlas.out,8,2,2.552e-05
blocked_ijk_atlas.out,8,4,1.804e-05
blocked_ijk_atlas.out,8,8,1.692e-05
blocked_ijk_atlas.out,16,2,5.512e-05
blocked_ijk_atlas.out,16,4,2.588e-05
blocked_ijk_atlas.out,16,8,2.0439999999999997e-05
blocked_ijk_atlas.out,16,16,2.104e-05
blocked_ijk_atlas.out,32,2,0.00034100000000000005
blocked_ijk_atlas.out,32,4,8.096000000000001e-05
blocked_ijk_atlas.out,32,8,4.300000000000001e-05
blocked_ijk_atlas.out,32,16,3.448000000000001e-05
blocked_ijk_atlas.out,32,32,3.4920000000000004e-05
blocked_ijk_atlas.out,64,2,0.0023128400000000005
blocked_ijk_atlas.out,64,4,0.0004514399999999999
blocked_ijk_atlas.out,64,8,0.00018324
blocked_ijk_atlas.out,64,16,0.00014048
blocked_ijk_atlas.out,64,32,0.00013952000000000002
blocked_ijk_atlas.out,64,64,0.00013784000000000002
blocked_ijk_atlas.out,128,2,0.018558760000000004
blocked_ijk_atlas.out,128,4,0.0035308
blocked_ijk_atlas.out,128,8,0.00139368
blocked_ijk_atlas.out,128,16,0.0010138400000000002
